case_id,timestamp,activity,resource
INV001,2024-02-01 09:00:00,Invoice Submitted,Supplier Portal
INV001,2024-02-01 09:30:00,Department Review,Dept Manager
INV001,2024-02-01 11:00:00,Finance Check,Finance Team
INV001,2024-02-01 14:00:00,Manager Approval,Senior Manager
INV001,2024-02-02 09:00:00,Payment Scheduled,Finance Team
INV001,2024-02-05 10:00:00,Payment Sent,Finance Team
INV002,2024-02-01 10:00:00,Invoice Submitted,Supplier Portal
INV002,2024-02-03 09:00:00,Department Review,Dept Manager
INV002,2024-02-03 14:00:00,Missing Info Request,Finance Team
INV002,2024-02-06 10:00:00,Info Received,Supplier Portal
INV002,2024-02-06 11:00:00,Finance Check,Finance Team
INV002,2024-02-07 09:00:00,Manager Approval,Senior Manager
INV002,2024-02-08 10:00:00,Payment Scheduled,Finance Team
INV002,2024-02-12 10:00:00,Payment Sent,Finance Team
INV003,2024-02-02 08:00:00,Invoice Submitted,Supplier Portal
INV003,2024-02-02 09:00:00,Department Review,Dept Manager
INV003,2024-02-02 10:00:00,Finance Check,Finance Team
INV003,2024-02-02 11:30:00,Duplicate Invoice Flagged,Finance Team
INV003,2024-02-04 09:00:00,Dispute Resolution,Finance Team
INV003,2024-02-06 14:00:00,Finance Check,Finance Team
INV003,2024-02-07 10:00:00,Manager Approval,Senior Manager
INV003,2024-02-08 09:00:00,Payment Scheduled,Finance Team
INV003,2024-02-13 10:00:00,Payment Sent,Finance Team
INV004,2024-02-03 09:00:00,Invoice Submitted,Supplier Portal
INV004,2024-02-05 14:00:00,Department Review,Dept Manager
INV004,2024-02-05 15:30:00,Finance Check,Finance Team
INV004,2024-02-06 09:00:00,Manager Approval,Senior Manager
INV004,2024-02-06 10:00:00,Payment Scheduled,Finance Team
INV004,2024-02-09 10:00:00,Payment Sent,Finance Team
INV005,2024-02-05 11:00:00,Invoice Submitted,Supplier Portal
INV005,2024-02-12 09:00:00,Department Review,Dept Manager
INV005,2024-02-12 11:00:00,Finance Check,Finance Team
INV005,2024-02-13 14:00:00,Amount Mismatch,Finance Team
INV005,2024-02-16 09:00:00,Info Received,Supplier Portal
INV005,2024-02-16 10:00:00,Finance Check,Finance Team
INV005,2024-02-17 09:00:00,Manager Approval,Senior Manager
INV005,2024-02-18 10:00:00,Payment Scheduled,Finance Team
INV005,2024-02-22 10:00:00,Payment Sent,Finance Team
INV006,2024-02-06 08:00:00,Invoice Submitted,Supplier Portal
INV006,2024-02-06 09:30:00,Department Review,Dept Manager
INV006,2024-02-06 10:00:00,Finance Check,Finance Team
INV006,2024-02-06 11:00:00,Manager Approval,Senior Manager
INV006,2024-02-07 09:00:00,Payment Scheduled,Finance Team
INV006,2024-02-10 10:00:00,Payment Sent,Finance Team
